pollster,date,seats
Find Out Now,20/01/2025,"{'Reform UK': 86, 'Labour': 313, 'Conservative': 140, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
YouGov,20/01/2025,"{'Reform UK': 105, 'Labour': 240, 'Conservative': 193, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,20/01/2025,"{'Reform UK': 34, 'Labour': 347, 'Conservative': 167, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Deltapoll,20/01/2025,"{'Reform UK': 23, 'Labour': 340, 'Conservative': 176, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 22, 'Green': 5, 'Plaid Cymru': 4}"
Lord Ashcroft Polls,16/01/2025,"{'Reform UK': 59, 'Labour': 304, 'Conservative': 182, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 21, 'Green': 4, 'Plaid Cymru': 0}"
Techne,15/01/2025,"{'Reform UK': 105, 'Labour': 239, 'Conservative': 194, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 15, 'Green': 5, 'Plaid Cymru': 3}"
Find Out Now,14/01/2025,"{'Reform UK': 47, 'Labour': 314, 'Conservative': 184, 'Liberal Democrats': 72, 'SNP': 10, 'Others': 19, 'Green': 4, 'Plaid Cymru': 0}"
JL Partners,13/01/2025,"{'Reform UK': 99, 'Labour': 303, 'Conservative': 133, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
YouGov,13/01/2025,"{'Reform UK': 92, 'Labour': 249, 'Conservative': 196, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,10/01/2025,"{'Reform UK': 54, 'Labour': 349, 'Conservative': 166, 'Liberal Democrats': 50, 'SNP': 11, 'Others': 12, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,08/01/2025,"{'Reform UK': 143, 'Labour': 287, 'Conservative': 107, 'Liberal Democrats': 73, 'SNP': 16, 'Others': 15, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,08/01/2025,"{'Reform UK': 44, 'Labour': 300, 'Conservative': 199, 'Liberal Democrats': 70, 'SNP': 13, 'Others': 17, 'Green': 4, 'Plaid Cymru': 3}"
More in Common,06/01/2025,"{'Reform UK': 38, 'Labour': 300, 'Conservative': 223, 'Liberal Democrats': 62, 'SNP': 8, 'Others': 12, 'Green': 4, 'Plaid Cymru': 3}"
